fap_subtype,rank,gene,score,logfoldchange,pvals_adj
DA-FAP,92,CD44,19.240671,,1.8186485215055356e-81
DA-FAP,93,PFKFB3,19.233122,,2.096210591798814e-81
DA-FAP,94,MMP2,19.225985,,2.396922923028902e-81
DA-FAP,95,FBLN2,19.022434,,1.1755995915655487e-79
DA-FAP,96,CHD1,18.714426,,3.964850447985732e-77
DA-FAP,97,RPL26,18.65338,,1.2358615255922361e-76
DA-FAP,98,COL18A1,18.640715,,1.5607639801941846e-76
DA-FAP,99,NFKBIZ,18.635868,,1.7028568960297648e-76
DA-FAP,100,NFATC1,18.299128,,8.473126999089213e-74
ECM-remodeling FAP,1,PRG4,42.034683,,0.0
ECM-remodeling FAP,2,PCOLCE2,36.280308,,3.3222964767595133e-285
ECM-remodeling FAP,3,PTGIS,31.959139,,1.7360049460111502e-221
ECM-remodeling FAP,4,PROCR,31.566261,,4.0403584455250884e-216
ECM-remodeling FAP,5,SH3BGRL3,30.738073,,5.90915281376668e-205
ECM-remodeling FAP,6,GPX4,26.246553,,1.2409244589508007e-149
ECM-remodeling FAP,7,CD55,25.752207,,4.5874635140277186e-144
ECM-remodeling FAP,8,FXYD5,25.362576,,8.942825945285925e-140
ECM-remodeling FAP,9,GYPC,25.10158,,6.000554590541128e-137
ECM-remodeling FAP,10,DEFB1,24.919113,,5.566039757438187e-135
ECM-remodeling FAP,11,CPE,24.59673,,1.5278970088047554e-131
ECM-remodeling FAP,12,CRYAB,24.535292,,6.681371519794469e-131
ECM-remodeling FAP,13,PPP1R14B,24.46967,,3.2290549883281883e-130
ECM-remodeling FAP,14,FBN1,24.379465,,2.8365949231021057e-129
ECM-remodeling FAP,15,ASPN,23.66824,,6.994087293578888e-122
ECM-remodeling FAP,16,CD9,23.533493,,1.6419309469421144e-120
ECM-remodeling FAP,17,NBL1,23.292868,,4.382469306555255e-118
ECM-remodeling FAP,18,EMP3,22.99801,,3.9737807959814012e-115
ECM-remodeling FAP,19,FSTL1,22.828793,,1.8825516222364996e-113
ECM-remodeling FAP,20,MFAP5,22.771421,,6.802099395580276e-113
ECM-remodeling FAP,21,POLR2L,22.684727,,4.775573418410533e-112
ECM-remodeling FAP,22,SH2D1A,22.488363,,3.9649156752230394e-110
ECM-remodeling FAP,23,OST4,22.476677,,5.0360412407783304e-110
ECM-remodeling FAP,24,CRIP1,22.340988,,1.0352245852881693e-108
ECM-remodeling FAP,25,HSD3B7,22.074717,,3.7874570187897667e-106
ECM-remodeling FAP,26,CLIC1,21.732862,,6.57285996207159e-103
ECM-remodeling FAP,27,LINC01133,21.627094,,6.4029735522468585e-102
ECM-remodeling FAP,28,CNN3,21.08815,,6.413871936449824e-97
ECM-remodeling FAP,29,CD99,21.009518,,3.3006106113272127e-96
ECM-remodeling FAP,30,CD70,20.933044,,1.6139352718156608e-95
ECM-remodeling FAP,31,CD248,20.875809,,5.249369588066614e-95
ECM-remodeling FAP,32,MXRA8,20.824127,,1.5160403748312956e-94
ECM-remodeling FAP,33,TGFBR3,20.738514,,8.849286212616715e-94
ECM-remodeling FAP,34,AHNAK2,20.703333,,1.8034531995622694e-93
ECM-remodeling FAP,35,TAGLN2,20.660322,,4.318815262612347e-93
ECM-remodeling FAP,36,GALNT15,20.639767,,6.4911216699650244e-93
ECM-remodeling FAP,37,PLA2G2A,20.435183,,4.3020698402278905e-91
