heldout_dataset,status,n_test,da_fap_fraction_observed,predicted_da_fap_fraction,auc,spearman_predicted_probability_vs_da_score
CELLxGENE_E-MTAB-13874_human_ageing,tested,19274,0.09084777420359033,0.1880253190827021,0.6810991301209965,0.8065319982607155
GSE130646,tested,557,0.362657091561939,0.5206463195691203,0.6767954260214755,0.9540424416128184
GSE143704,tested,9796,0.3868926092282564,0.8696406696610861,0.6928444466703041,0.6191207040297103
GSE167186_snRNA,tested,438,0.7054794520547946,0.4589041095890411,0.3520483680790748,0.8006506319129819
