fap_subtype,homeostatic_z,adipogenic_z,fibrotic_ecm_z,inflammatory_remodeling_z,da_fap_score_z,fap_pseudotime
DA-FAP,0.4007767231668896,0.09504966332608508,0.8701169916568735,0.7287302030528129,0.9345480550755614,0.2937155085205244
ECM-remodeling FAP,-0.4811391944838051,-0.23325372776118009,0.04619124541699268,-0.7822649262284799,-0.5347923281842996,0.29065988590436137
adipogenic FAP,-0.6196588288398536,0.043695812422855466,-0.58146278225039,-0.4308783230152556,-0.5344159948050451,0.5539591231569315
homeostatic FAP,0.7731920331056524,-0.019834463435015597,0.34704971329809453,-0.2673097694066089,0.033050743310239286,0.154669213713469
inflammatory FAP,-0.298561463431006,-0.05503113586672528,-0.4238486297864468,0.26898355557515846,-0.11580285657038311,0.3071324563503359
