module,n_contrasts,random_effect_hedges_g,se,ci_low,ci_high,pvalue,tau2,i2_percent
adipogenic,6,0.6131005136111146,0.153223877829041,0.31278171306619423,0.913419314156035,6.298533028961191e-05,0.0,0.0
DA_FAP,6,0.4448873526543357,0.1516532082935051,0.14764706439906572,0.7421276409096057,0.003350734898405084,0.0,0.0
PPARG_like,6,0.43399183225979615,0.15187693597733243,0.1363130377442246,0.7316706267753676,0.004269617384143757,0.0,0.0
inflammatory_remodeling,6,0.40573507894178507,0.15165029736699007,0.10850049610248452,0.7029696617810857,0.007462564112030554,0.0,0.0
fibrotic_ecm,6,0.33643066093751883,0.1510187602342529,0.04043389087838317,0.6324274309966544,0.025897801424491593,0.0,0.0
STAT3_IL6,6,0.26197645438335043,0.15080106847958158,-0.03359363983662944,0.5575465486033303,0.0823462139964866,0.0,0.0
SMAD3_TGFB,6,0.21564681954694925,0.15039373645285506,-0.07912490390064664,0.5104185429945451,0.15160603814746265,0.0,0.0
myogenesis,6,-0.3274255830205809,0.1510287919111932,-0.6234420151665195,-0.031409150874642244,0.030161123823962636,0.0,0.0
OXPHOS_mito,6,-0.7024370024406383,0.2106508845731599,-1.1153127362040318,-0.28956126867724497,0.0008542135919088148,0.1119869591898709,42.74982340177359
