communication_group,gene,mean_log_expr,n_cells
adipogenic FAP,WNT5A,0.8353034994231848,7829
b_cell,CCL2,0.22411356264329085,2087
b_cell,CCR2,0.35960828336912404,2087
b_cell,CD44,3.563833573157496,2087
b_cell,COL1A1,0.10585858383917068,2087
b_cell,CXCL12,0.03839879988282142,2087
b_cell,CXCR4,6.832470813084927,2087
b_cell,FN1,0.06194349060138232,2087
b_cell,FZD4,0.007036277001241832,2087
b_cell,IL6,0.8641135982365176,2087
b_cell,IL6R,0.24759931701419544,2087
b_cell,IL6ST,0.7521923520603448,2087
b_cell,ITGA1,0.03069199497972761,2087
b_cell,ITGA5,0.1729038548259379,2087
b_cell,ITGB1,1.802859462964509,2087
b_cell,JAG1,0.05787892581253873,2087
b_cell,NOTCH1,0.3512957475548897,2087
b_cell,PDGFA,0.07200611936523879,2087
b_cell,PDGFB,0.03594058224456783,2087
b_cell,PDGFRA,0.009897792779025093,2087
b_cell,PDGFRB,0.1500450471143682,2087
b_cell,SPP1,0.006873362243351475,2087
b_cell,TGFB1,2.2142956966392746,2087
b_cell,TGFBR1,0.7456882248829969,2087
b_cell,TGFBR2,0.832618945062632,2087
b_cell,TNF,0.5657466031107439,2087
b_cell,TNFRSF1A,0.3844701237179918,2087
b_cell,WNT5A,0.03266098799906606,2087
endothelial,CCL2,3.3301823187955066,1571
endothelial,CCR2,0.0039261080409515635,1571
endothelial,CD44,0.41727118612232045,1571
endothelial,COL1A1,0.5593944596856071,1571
endothelial,CXCL12,3.0110058996400517,1571
endothelial,CXCR4,0.2488465338662752,1571
endothelial,FN1,1.8115180661655428,1571
endothelial,FZD4,1.5214582465992588,1571
endothelial,IL6,2.270437899438654,1571
endothelial,IL6R,0.24184808126642582,1571
endothelial,IL6ST,3.298850720621392,1571
endothelial,ITGA1,3.1919471414053064,1571
endothelial,ITGA5,1.5009326982454871,1571
endothelial,ITGB1,4.425693832684405,1571
endothelial,JAG1,1.474334072876967,1571
endothelial,NOTCH1,1.4521323491103546,1571
endothelial,PDGFA,0.31131382140999975,1571
endothelial,PDGFB,1.1883417471033395,1571
endothelial,PDGFRA,0.24524814268320855,1571
endothelial,PDGFRB,0.3202374231395514,1571
endothelial,SPP1,0.01782576593280195,1571
endothelial,TGFB1,0.9017331634870771,1571
endothelial,TGFBR1,0.32246654108137585,1571
endothelial,TGFBR2,2.9821270846822783,1571
endothelial,TNF,0.11880594974112618,1571
endothelial,TNFRSF1A,1.7456052715481678,1571
endothelial,WNT5A,0.04196554815044741,1571
